net,length_um
clk,98.26
net1,96.96
net4,81.1
net2,77.98
net3,74.84
state\[0\],25.66
state\[1\],23.68
clknet_0_clk,18.74
clknet_1_1__leaf_clk,17.3
_03_,15.02
_02_,14.04
_10_,13.9
Red,13.54
_06_,13.125
Yellow,12.96
_15_,12.76
rst,11.02
Green,9.86
count3\[0\],9.78
_05_,8.3
_11_,7.42
_12_,7.12
count3\[1\],6.6
_13_,6.52
clknet_1_0__leaf_clk,6.26
nextstate\[1\],6.02
_07_,5.965
_00_,5.14
nextstate\[0\],4.68
_04_,3.965
_01_,2.96
_16_,2.64
_08_,2.04
_14_,1.14
_09_,0.8
net5,0.46
