net,length_um
_1266_,89.42
_1505_,89.24
_1526_,89.14
net141,89.12
net128,88.58
_1066_,88.355
net57,88.34
clknet_leaf_39_clk,88.28
_1077_,87.84
net46,87.8
net68,87.4
clknet_leaf_36_clk,87.24
_1990_,87.18
_0981_,86.86
net71,86.82
net50,86.74
clknet_leaf_35_clk,86.635
_0813_,86.62
_1534_,86.62
net111,86.58
net74,85.3
clknet_leaf_13_clk,83.9
net132,83.68
net144,83.22
clknet_leaf_32_clk,82.28
clknet_leaf_14_clk,82.18
clknet_leaf_46_clk,81.82
_1700_,81.04
_1649_,80.18
_0819_,79.66
net89,79.48
_0757_,79.38
_0815_,79.06
net130,78.8
net86,77.48
clknet_leaf_41_clk,77.48
_0852_,76.96
_0952_,76.6
_1016_,76.46
net51,75.74
clknet_leaf_28_clk,74.26
_1656_,74
net20,73.24
net137,73.08
clknet_leaf_12_clk,72.86
net117,72.84
net139,72.84
clknet_leaf_31_clk,72.72
clknet_leaf_9_clk,72.21
clknet_leaf_27_clk,71.84
net121,71.42
_0958_,70.84
_0817_,69.6
_0882_,69.58
clknet_leaf_49_clk,69.54
_0963_,69.5
net101,69.25
clknet_leaf_58_clk,68.94
_0864_,68.88
_0896_,68.52
_1070_,68.5
clknet_leaf_30_clk,68.14
net118,68.08
net27,68.02
_1569_,67.97
_0894_,67.88
net39,67.67
net73,67.1
clknet_leaf_18_clk,66.9
net18,66.84
net44,66.62
_0856_,66.515
net6,66.42
net147,65.78
clknet_leaf_5_clk,65.72
_1059_,65.56
_0965_,65.18
_0971_,65.12
net93,63.58
clknet_leaf_43_clk,63.26
_0926_,63.1
_0884_,62.8
_0967_,62.24
_0821_,61.79
_0937_,61.74
net64,61.58
net33,61.54
_0947_,61.38
clknet_leaf_16_clk,61.38
net124,61.34
net129,61.34
_0921_,61.28
net32,61.04
_0945_,60.64
_0823_,60.32
_0902_,59.98
_0867_,59.54
_0888_,59.42
clknet_leaf_26_clk,59.42
_0807_,58.98
clknet_leaf_22_clk,58.975
_0900_,58.76
net45,58.68
clknet_leaf_7_clk,58.3
_0898_,58.22
_0828_,58.17
_0862_,57.76
_0917_,56.6
_1098_,56.14
_0954_,55.72
net25,55.34
_0875_,55.24
_0904_,55.08
_0841_,54.89
net11,54.86
net79,54.44
_0960_,54.26
net115,54.22
net56,53.66
_0873_,53.04
_0836_,52.94
net7,52.88
_0869_,52.8
_0911_,52.54
_0939_,52.46
_0851_,52.28
net75,51.48
net100,51.46
_0834_,50.98
net110,50.92
net24,50.78
_0858_,50.74
net146,49.7
clknet_leaf_37_clk,49.52
clknet_leaf_44_clk,49.48
_0919_,49.18
_0969_,49.12
_0924_,48.92
_0832_,48.87
net106,48.74
net10,48.3
_0913_,48.12
_0943_,47.68
_0950_,47.4
net126,47.36
_0871_,47.32
_0849_,47.24
net65,47.14
_0845_,46.38
net138,46.12
net112,46.07
net37,46.04
instance_1.rdata\[23\],45.94
_0854_,45.66
_0934_,45.36
_0941_,44.9
_0930_,44.86
_1750_,44.5
clknet_leaf_20_clk,44.26
net80,43.88
net105,43.78
_0877_,43.64
_0847_,43.44
net134,43.16
clknet_leaf_6_clk,43.14
_0915_,42.86
_0838_,42.66
_0928_,42.62
net84,42.16
clknet_leaf_60_clk,41.98
net135,41.96
_1033_,41.88
net120,41.18
_0720_,41.06
net22,41.06
net97,41.04
net133,41.04
instance_1.mem\[3\]\[70\],40.92
net63,40.82
net62,40.66
net23,40.62
net136,40.52
_0843_,39.94
net53,39.94
_0860_,39.9
_0890_,39.14
_0880_,39.08
net131,38.8
net145,38.78
_0825_,38.14
_0830_,38.02
_0956_,38.01
instance_1.mem\[2\]\[55\],37.72
net17,37.6
instance_1.mem\[2\]\[53\],37.585
instance_0.rdata\[33\],37.52
instance_0.mem\[3\]\[67\],37.48
net125,36.94
net122,36.92
net140,36.52
_0932_,36.16
net67,36
_1837_,35.94
net15,35.65
_0886_,35.64
net42,35.54
_1034_,35.38
net72,35.38
instance_1.mem\[1\]\[17\],35
net127,34.36
net41,34.26
wdata[19],34.03
instance_1.rdata\[15\],33.76
net142,33.38
_1148_,33.3
net43,32.46
_1358_,32.4
net60,32.34
net104,32.18
net9,31.94
instance_0.rdata\[55\],31.88
net31,31.58
_1219_,31.48
net69,31.2
_0906_,31.18
net96,31.02
_0905_,30.99
_1924_,30.9
instance_0.mem\[3\]\[38\],30.54
rdata[22],30.49
instance_0.mem\[3\]\[13\],30.46
instance_0.mem\[1\]\[49\],30.32
_1174_,29.92
rdata[14],29.29
instance_0.mem\[2\]\[46\],29.26
instance_0.rdata\[31\],29.2
rdata[13],29.03
_0940_,28.84
instance_0.rdata\[13\],28.8
instance_1.rdata\[14\],28.74
instance_1.mem\[0\]\[44\],28.6
_1663_,28.54
instance_0.mem\[3\]\[3\],28.44
instance_0.mem\[3\]\[64\],28.4
wdata[39],28.4
instance_1.mem\[2\]\[61\],28.365
instance_0.mem\[3\]\[17\],28.12
wdata[4],28.04
wdata[12],27.93
_1357_,27.9
net70,27.88
instance_0.mem\[1\]\[38\],27.82
instance_0.mem\[3\]\[51\],27.76
wdata[1],27.54
_0808_,27.375
instance_1.mem\[1\]\[7\],27.3
net85,27.2
net61,27.18
net78,26.98
net624,26.88
_1426_,26.84
instance_1.rdata\[13\],26.84
wdata[15],26.77
wdata[5],26.66
_1196_,26.64
instance_1.mem\[1\]\[27\],26.64
instance_1.mem\[1\]\[61\],26.42
_1085_,26.36
instance_1.mem\[1\]\[32\],26.26
net58,26.26
net52,26.14
instance_1.rdata\[49\],26.04
instance_1.mem\[3\]\[61\],25.9
instance_1.mem\[2\]\[14\],25.775
net40,25.76
wdata[13],25.71
instance_1.rdata\[20\],25.7
net36,25.62
instance_0.mem\[3\]\[47\],25.585
instance_0.rdata\[30\],25.56
net148,25.52
net81,25.42
rdata[12],25.41
instance_0.mem\[3\]\[44\],25.4
net4,25.2
net12,25.2
instance_1.rdata\[40\],25.155
