net,length_um
instance_0.rdata\[51\],13.5
_1376_,13.48
instance_1.mem\[2\]\[52\],13.48
_1220_,13.46
net299,13.46
instance_0.mem\[0\]\[40\],13.42
instance_0.mem\[0\]\[59\],13.42
instance_0.rdata\[29\],13.42
_1061_,13.4
_1600_,13.4
instance_0.mem\[1\]\[71\],13.38
instance_0.mem\[2\]\[7\],13.38
_1483_,13.36
_1630_,13.34
net580,13.32
instance_0.mem\[2\]\[44\],13.305
_1314_,13.28
instance_1.mem\[0\]\[41\],13.265
net220,13.265
_1460_,13.26
_0857_,13.24
instance_1.mem\[1\]\[57\],13.24
rdata[23],13.23
net301,13.22
_1004_,13.2
instance_0.mem\[0\]\[36\],13.185
instance_0.mem\[3\]\[52\],13.18
net538,13.18
net771,13.18
_1387_,13.16
instance_1.mem\[2\]\[45\],13.16
instance_1.mem\[2\]\[69\],13.15
instance_1.mem\[1\]\[23\],13.14
_1141_,13.12
_1054_,13.1
_1439_,13.1
rdata[70],13.1
instance_1.mem\[2\]\[15\],13.085
_1128_,13.08
_1496_,13.08
instance_0.rdata\[67\],13.08
rdata[39],13.08
net349,13.08
instance_1.mem\[0\]\[24\],13.06
_1982_,13.04
instance_1.mem\[1\]\[26\],13.04
instance_1.mem\[3\]\[5\],13.03
instance_1.mem\[3\]\[55\],13.02
rdata[69],13.02
_1597_,13
_2024_,13
instance_1.mem\[0\]\[68\],13
instance_1.mem\[0\]\[49\],12.98
_0130_,12.96
_1058_,12.96
_1461_,12.96
instance_1.mem\[3\]\[44\],12.96
net239,12.96
net922,12.96
instance_0.mem\[0\]\[32\],12.945
net639,12.94
instance_1.mem\[0\]\[63\],12.92
instance_1.rdata\[54\],12.92
_1532_,12.9
instance_1.mem\[0\]\[30\],12.9
instance_1.mem\[2\]\[24\],12.9
instance_1.mem\[2\]\[70\],12.9
instance_0.rdata\[3\],12.88
instance_1.mem\[1\]\[46\],12.88
_1427_,12.86
instance_0.mem\[1\]\[36\],12.86
net654,12.86
net769,12.86
_1915_,12.84
instance_1.mem\[1\]\[4\],12.84
net313,12.84
net752,12.84
net632,12.82
net977,12.82
_0738_,12.8
instance_0.mem\[0\]\[43\],12.8
instance_0.mem\[3\]\[70\],12.8
instance_0.mem\[0\]\[33\],12.78
instance_1.mem\[0\]\[2\],12.78
instance_0.mem\[1\]\[12\],12.76
instance_0.mem\[1\]\[56\],12.76
instance_0.mem\[3\]\[6\],12.74
instance_0.mem\[3\]\[34\],12.72
instance_1.mem\[3\]\[31\],12.72
_1336_,12.7
_1949_,12.7
net209,12.7
_0354_,12.685
_1112_,12.68
net615,12.68
_1237_,12.66
_1537_,12.66
instance_1.mem\[2\]\[28\],12.65
instance_1.rdata\[46\],12.63
_0188_,12.62
_1898_,12.62
instance_0.mem\[3\]\[31\],12.62
net924,12.62
_0536_,12.605
instance_1.mem\[0\]\[48\],12.6
net367,12.58
_0805_,12.56
_1413_,12.56
instance_1.mem\[2\]\[37\],12.56
instance_1.rdata\[12\],12.54
_0091_,12.505
instance_0.mem\[3\]\[42\],12.5
_1783_,12.48
_1811_,12.48
_0530_,12.465
instance_1.mem\[0\]\[34\],12.445
_0553_,12.435
_0428_,12.425
_1753_,12.42
instance_0.mem\[0\]\[45\],12.42
_1384_,12.4
rdata[18],12.39
_1423_,12.38
_1858_,12.38
instance_0.mem\[3\]\[39\],12.38
net825,12.38
instance_0.mem\[2\]\[68\],12.375
net976,12.36
instance_0.mem\[1\]\[6\],12.34
instance_0.mem\[1\]\[5\],12.32
_1277_,12.3
instance_0.rdata\[39\],12.3
_0208_,12.28
net600,12.28
instance_1.mem\[2\]\[40\],12.26
_0449_,12.225
_0568_,12.225
net547,12.22
_1755_,12.2
instance_1.mem\[0\]\[52\],12.2
instance_1.rdata\[2\],12.2
instance_1.mem\[0\]\[45\],12.185
_1145_,12.18
instance_1.mem\[0\]\[8\],12.18
instance_1.mem\[3\]\[51\],12.18
net822,12.18
_0220_,12.16
_0863_,12.16
_1264_,12.16
_1716_,12.14
net281,12.12
_0305_,12.105
instance_0.mem\[2\]\[1\],12.105
instance_1.mem\[0\]\[12\],12.1
net166,12.085
instance_1.mem\[2\]\[16\],12.06
instance_1.mem\[3\]\[8\],12.06
net255,12.06
_1545_,12.04
instance_0.mem\[1\]\[32\],12.04
instance_0.mem\[1\]\[61\],12.04
instance_1.mem\[1\]\[22\],12.04
net219,12.04
net960,12.04
_0376_,12.025
_0983_,12.02
instance_0.mem\[3\]\[49\],12
instance_1.mem\[3\]\[1\],12
_0450_,11.985
_1267_,11.98
_0114_,11.96
instance_0.mem\[2\]\[48\],11.96
instance_1.rdata\[33\],11.96
net418,11.96
_1273_,11.94
rdata[3],11.94
net663,11.94
instance_1.mem\[2\]\[67\],11.905
instance_1.mem\[2\]\[62\],11.885
_1501_,11.88
instance_1.mem\[0\]\[16\],11.88
instance_1.mem\[1\]\[54\],11.88
_1435_,11.82
instance_1.mem\[1\]\[19\],11.8
instance_1.mem\[1\]\[70\],11.8
net797,11.8
_0171_,11.78
_1181_,11.78
instance_0.mem\[0\]\[51\],11.78
instance_1.rdata\[31\],11.78
net275,11.78
_2009_,11.74
instance_0.rdata\[62\],11.74
instance_0.mem\[2\]\[30\],11.73
instance_0.mem\[3\]\[40\],11.72
instance_0.rdata\[40\],11.72
instance_1.mem\[2\]\[7\],11.72
instance_1.mem\[3\]\[24\],11.72
_0942_,11.7
_1905_,11.7
instance_1.rdata\[62\],11.7
net157,11.7
_1022_,11.68
net485,11.68
_1194_,11.66
_0824_,11.64
_0887_,11.64
_1348_,11.64
instance_0.mem\[3\]\[33\],11.64
net805,11.64
_0204_,11.625
instance_1.mem\[3\]\[26\],11.62
_0691_,11.6
instance_0.mem\[2\]\[60\],11.585
_1489_,11.58
net319,11.58
_1475_,11.56
instance_1.mem\[3\]\[48\],11.56
_1197_,11.54
instance_0.mem\[1\]\[63\],11.54
instance_1.mem\[1\]\[11\],11.54
_0120_,11.505
_1081_,11.5
_1399_,11.5
instance_1.mem\[1\]\[53\],11.5
instance_1.mem\[0\]\[20\],11.495
_0364_,11.485
_1544_,11.48
_1697_,11.48
_1972_,11.48
net496,11.48
instance_1.mem\[2\]\[54\],11.465
instance_1.mem\[0\]\[3\],11.46
instance_1.mem\[2\]\[42\],11.46
net711,11.46
instance_1.mem\[2\]\[2\],11.44
rdata[56],11.43
instance_0.rdata\[47\],11.42
instance_1.mem\[1\]\[18\],11.42
net159,11.42
address[1],11.41
_0389_,11.405
instance_1.mem\[2\]\[63\],11.39
instance_1.mem\[2\]\[30\],11.385
_0150_,11.38
instance_0.mem\[0\]\[28\],11.38
instance_0.mem\[0\]\[58\],11.38
instance_0.mem\[2\]\[62\],11.38
_0007_,11.365
instance_1.mem\[0\]\[57\],11.36
instance_1.rdata\[53\],11.36
rdata[4],11.36
instance_1.mem\[1\]\[5\],11.34
instance_1.mem\[3\]\[42\],11.32
instance_1.mem\[3\]\[56\],11.32
net911,11.32
_0528_,11.285
net256,11.285
_0974_,11.28
_1758_,11.28
instance_1.mem\[3\]\[22\],11.28
instance_1.rdata\[34\],11.28
net265,11.28
_0972_,11.26
_1261_,11.26
instance_0.mem\[2\]\[23\],11.26
instance_1.mem\[2\]\[20\],11.26
rdata[0],11.26
rdata[34],11.26
rdata[41],11.26
rdata[63],11.26
rdata[65],11.26
_0292_,11.245
_0213_,11.24
_0814_,11.24
_1118_,11.24
_1318_,11.24
_1359_,11.24
instance_0.mem\[0\]\[18\],11.22
instance_1.mem\[3\]\[39\],11.22
rdata[47],11.22
_0115_,11.2
_0218_,11.2
_1965_,11.2
net197,11.2
_1121_,11.18
_0004_,11.16
_0718_,11.16
_1754_,11.16
instance_0.mem\[1\]\[26\],11.16
instance_0.mem\[3\]\[57\],11.16
_1224_,11.12
_1517_,11.12
_1522_,11.12
_1571_,11.12
instance_0.mem\[2\]\[52\],11.12
net889,11.12
instance_0.mem\[0\]\[54\],11.1
net541,11.1
instance_1.mem\[3\]\[60\],11.08
wdata[56],11.07
_0067_,11.065
instance_0.rdata\[4\],11.06
_1343_,11.04
instance_1.mem\[1\]\[34\],11.04
instance_1.mem\[3\]\[28\],11.04
instance_1.rdata\[43\],11.04
_0622_,11.025
wdata[34],11.02
net420,11.02
_1158_,11
instance_0.mem\[0\]\[52\],11
instance_0.mem\[1\]\[48\],11
_0670_,10.985
instance_1.mem\[0\]\[56\],10.98
_1471_,10.96
instance_0.rdata\[19\],10.96
instance_1.mem\[1\]\[43\],10.96
instance_1.mem\[1\]\[63\],10.96
net243,10.96
instance_0.mem\[3\]\[8\],10.94
instance_1.mem\[0\]\[50\],10.92
net235,10.92
net414,10.92
net448,10.92
wdata[54],10.91
_0352_,10.905
_0361_,10.905
instance_0.mem\[1\]\[2\],10.88
instance_0.mem\[2\]\[36\],10.88
instance_1.mem\[1\]\[2\],10.88
instance_1.mem\[3\]\[4\],10.88
_1546_,10.86
instance_0.rdata\[48\],10.86
instance_1.mem\[2\]\[25\],10.86
instance_1.rdata\[16\],10.86
_0072_,10.84
instance_0.mem\[1\]\[59\],10.84
instance_1.mem\[0\]\[55\],10.84
instance_1.mem\[0\]\[19\],10.835
_0701_,10.825
_1932_,10.82
instance_0.rdata\[43\],10.82
instance_0.rdata\[6\],10.82
_0189_,10.8
_1473_,10.8
instance_0.mem\[2\]\[25\],10.8
instance_1.mem\[3\]\[13\],10.8
instance_0.mem\[3\]\[56\],10.79
_1155_,10.78
_1557_,10.78
net261,10.78
net620,10.78
net954,10.78
instance_1.mem\[1\]\[50\],10.76
_0272_,10.745
instance_1.mem\[0\]\[4\],10.74
instance_1.mem\[1\]\[29\],10.74
net628,10.74
wdata[14],10.73
_1256_,10.7
_1611_,10.7
instance_1.mem\[0\]\[66\],10.7
_1013_,10.68
instance_0.rdata\[20\],10.68
net962,10.68
_1424_,10.66
_1819_,10.66
_2041_,10.66
_0088_,10.64
instance_1.mem\[0\]\[5\],10.64
net14,10.64
_0903_,10.62
instance_1.mem\[1\]\[14\],10.62
instance_1.rdata\[69\],10.62
net708,10.62
instance_0.mem\[3\]\[29\],10.595
instance_0.mem\[0\]\[30\],10.58
instance_0.mem\[1\]\[35\],10.58
instance_1.mem\[2\]\[23\],10.565
_0901_,10.56
_1415_,10.56
_1596_,10.56
_1702_,10.56
instance_1.mem\[1\]\[60\],10.56
wdata[40],10.56
_0282_,10.555
instance_0.mem\[0\]\[69\],10.54
instance_0.mem\[3\]\[61\],10.54
net343,10.54
net638,10.54
net966,10.54
instance_0.mem\[0\]\[5\],10.52
_1494_,10.5
instance_1.mem\[1\]\[10\],10.5
instance_1.mem\[3\]\[36\],10.5
instance_1.mem\[3\]\[53\],10.5
instance_1.mem\[2\]\[71\],10.485
instance_0.mem\[3\]\[12\],10.48
_0271_,10.475
instance_0.mem\[0\]\[24\],10.46
instance_0.mem\[2\]\[71\],10.46
instance_0.mem\[3\]\[68\],10.46
_1643_,10.44
net646,10.44
instance_1.mem\[2\]\[58\],10.42
_0946_,10.4
_1775_,10.4
instance_0.mem\[3\]\[25\],10.4
net661,10.4
_0703_,10.385
instance_0.rdata\[65\],10.38
_0261_,10.365
_0191_,10.36
_0749_,10.36
_0990_,10.36
instance_0.mem\[2\]\[17\],10.36
instance_1.mem\[2\]\[17\],10.36
net804,10.36
_0745_,10.34
_1531_,10.34
_1911_,10.34
_1945_,10.34
instance_0.rdata\[26\],10.34
rdata[1],10.34
rdata[32],10.34
net689,10.34
_1152_,10.32
_1159_,10.32
_1164_,10.32
_1185_,10.32
_1416_,10.32
_1482_,10.32
_1641_,10.32
_1523_,10.28
_1467_,10.26
net701,10.26
_1223_,10.24
instance_1.rdata\[55\],10.24
_0499_,10.22
net956,10.22
_0951_,10.2
_0985_,10.2
instance_0.mem\[0\]\[71\],10.185
_0874_,10.18
instance_0.mem\[1\]\[29\],10.18
net641,10.18
net801,10.16
_1492_,10.14
_1660_,10.14
net236,10.125
instance_1.rdata\[52\],10.12
_0295_,10.105
_0918_,10.1
_1748_,10.1
_1992_,10.1
instance_0.mem\[0\]\[11\],10.085
instance_0.mem\[3\]\[28\],10.08
instance_0.mem\[2\]\[37\],10.06
_0512_,10.045
instance_0.mem\[3\]\[60\],10.04
instance_0.rdata\[63\],10.04
instance_1.mem\[1\]\[48\],10.04
instance_1.mem\[2\]\[4\],10.04
instance_1.rdata\[38\],10.04
_0250_,10
_1445_,10
net942,10
_0205_,9.98
_0872_,9.98
_1865_,9.98
_1980_,9.98
_2014_,9.98
instance_0.mem\[2\]\[43\],9.965
instance_1.mem\[1\]\[55\],9.965
_1639_,9.96
_0599_,9.945
instance_0.mem\[0\]\[1\],9.94
_0128_,9.925
instance_1.mem\[2\]\[3\],9.915
_0025_,9.905
_0630_,9.905
_0143_,9.9
_0203_,9.9
_0207_,9.9
_1654_,9.9
_1878_,9.9
instance_0.rdata\[25\],9.9
_1201_,9.88
_1845_,9.88
net438,9.88
_0955_,9.86
_0982_,9.86
_1538_,9.86
_1805_,9.86
_1880_,9.86
instance_1.rdata\[48\],9.86
net517,9.86
net824,9.86
_0715_,9.845
instance_0.mem\[2\]\[33\],9.84
instance_0.mem\[3\]\[66\],9.84
_0492_,9.825
_0970_,9.82
_1160_,9.82
_1324_,9.82
instance_0.rdata\[32\],9.82
instance_1.mem\[1\]\[39\],9.82
instance_1.mem\[1\]\[41\],9.82
instance_1.mem\[2\]\[19\],9.82
_1214_,9.78
_1330_,9.78
instance_1.rdata\[36\],9.78
_1378_,9.76
_1539_,9.76
net941,9.76
instance_0.rdata\[53\],9.74
_0521_,9.7
instance_1.mem\[1\]\[15\],9.7
instance_1.mem\[1\]\[31\],9.7
net896,9.7
_1084_,9.68
_1617_,9.68
net421,9.68
net549,9.68
net885,9.68
_1457_,9.66
_2036_,9.66
instance_0.rdata\[2\],9.66
instance_1.mem\[3\]\[10\],9.66
net434,9.66
_1323_,9.64
wdata[62],9.64
_1902_,9.62
instance_0.mem\[3\]\[63\],9.62
net295,9.62
net461,9.6
_1035_,9.58
instance_1.mem\[2\]\[6\],9.57
net374,9.56
_0529_,9.545
instance_1.mem\[0\]\[58\],9.535
_1449_,9.52
net591,9.52
instance_0.mem\[3\]\[7\],9.5
instance_1.mem\[3\]\[12\],9.5
_1624_,9.48
_1944_,9.48
_2015_,9.48
net687,9.48
instance_0.mem\[3\]\[58\],9.465
instance_0.rdata\[10\],9.46
_0024_,9.445
_0196_,9.445
_0881_,9.44
_1143_,9.44
_1499_,9.44
_2008_,9.44
instance_0.rdata\[37\],9.44
_1304_,9.42
_1602_,9.42
_1769_,9.42
_0394_,9.405
net212,9.405
_1529_,9.4
_1817_,9.4
_1871_,9.4
_2001_,9.4
instance_0.mem\[1\]\[9\],9.4
instance_0.rdata\[35\],9.4
instance_0.rdata\[44\],9.4
_0454_,9.385
instance_0.mem\[1\]\[60\],9.38
net633,9.38
_0846_,9.36
instance_0.mem\[0\]\[2\],9.36
instance_0.mem\[1\]\[11\],9.36
instance_0.rdata\[58\],9.36
instance_1.mem\[1\]\[45\],9.36
_1612_,9.34
_0820_,9.32
_1020_,9.32
_1521_,9.32
instance_1.mem\[3\]\[71\],9.32
net812,9.32
net917,9.3
_0467_,9.285
_1798_,9.28
_1876_,9.28
_1515_,9.26
net716,9.26
_0474_,9.245
instance_0.mem\[2\]\[3\],9.245
_0133_,9.24
instance_1.mem\[0\]\[40\],9.24
instance_0.mem\[1\]\[0\],9.22
net537,9.22
net594,9.22
net734,9.22
rdata[15],9.21
rdata[16],9.21
net221,9.2
_1105_,9.18
wdata[32],9.18
wdata[69],9.18
net856,9.18
net894,9.18
_1232_,9.16
_0816_,9.14
net860,9.14
_0199_,9.12
instance_0.mem\[2\]\[56\],9.12
instance_0.rdata\[68\],9.12
net853,9.1
_0308_,9.085
_0244_,9.08
instance_0.mem\[0\]\[48\],9.08
net249,9.08
_0228_,9.06
_1049_,9.06
instance_1.rdata\[11\],9.06
net357,9.06
wdata[55],9.05
_0293_,9.045
_1130_,9.04
_1212_,9.04
_0152_,9.02
_0727_,9.02
instance_1.mem\[1\]\[69\],9.02
instance_1.rdata\[19\],9.02
instance_1.rdata\[35\],9.02
_0419_,8.985
_1312_,8.98
_1444_,8.98
_2021_,8.98
instance_0.rdata\[52\],8.98
instance_1.mem\[0\]\[69\],8.98
instance_1.mem\[2\]\[39\],8.98
net426,8.98
rdata[31],8.96
rdata[36],8.96
rdata[40],8.96
rdata[43],8.96
rdata[45],8.96
_0566_,8.945
_0576_,8.945
_1163_,8.94
_1727_,8.94
_1810_,8.94
net737,8.94
wdata[11],8.93
_1238_,8.92
instance_0.mem\[1\]\[22\],8.92
_0061_,8.905
_0229_,8.9
_1255_,8.9
_1328_,8.9
instance_0.mem\[0\]\[68\],8.9
net317,8.9
net712,8.9
net785,8.9
_0840_,8.86
_1157_,8.86
_1250_,8.86
_1282_,8.86
_1472_,8.86
_1514_,8.86
_1740_,8.86
_1981_,8.86
_2010_,8.86
net480,8.86
instance_0.mem\[0\]\[57\],8.84
instance_0.mem\[2\]\[41\],8.84
net923,8.84
_1974_,8.82
instance_0.mem\[0\]\[8\],8.82
instance_1.mem\[2\]\[56\],8.82
instance_1.mem\[3\]\[18\],8.82
instance_1.mem\[3\]\[29\],8.82
_0052_,8.8
instance_0.mem\[0\]\[66\],8.8
net820,8.8
net948,8.8
_0355_,8.785
_0671_,8.785
instance_0.rdata\[45\],8.78
instance_1.mem\[0\]\[21\],8.78
instance_1.rdata\[65\],8.76
net430,8.76
_0003_,8.725
_0214_,8.725
_0420_,8.725
_0100_,8.72
_0659_,8.72
wdata[10],8.72
wdata[28],8.72
wdata[30],8.72
wdata[31],8.72
wdata[33],8.72
wdata[35],8.72
wdata[36],8.72
wdata[37],8.72
wdata[38],8.72
wdata[42],8.72
wdata[43],8.72
wdata[47],8.72
wdata[63],8.72
wdata[65],8.72
wdata[66],8.72
wdata[67],8.72
wdata[6],8.72
wdata[70],8.72
wdata[71],8.72
wdata[7],8.72
wdata[9],8.72
instance_1.rdata\[71\],8.7
net462,8.7
net731,8.7
_0431_,8.665
instance_0.mem\[0\]\[47\],8.66
_0117_,8.6
_1421_,8.6
_1434_,8.6
_1658_,8.6
instance_0.mem\[1\]\[57\],8.6
net577,8.6
_0711_,8.585
_0224_,8.58
_1685_,8.58
net714,8.58
net729,8.58
_1299_,8.56
_1698_,8.56
instance_1.rdata\[45\],8.56
net474,8.56
instance_1.mem\[0\]\[67\],8.54
_0379_,8.525
_0145_,8.52
_0782_,8.52
_0885_,8.52
_0923_,8.52
_1352_,8.52
_1481_,8.52
_1607_,8.52
_1615_,8.52
_1863_,8.52
_1935_,8.52
instance_1.mem\[3\]\[32\],8.5
rdata[28],8.5
rdata[30],8.5
rdata[33],8.5
rdata[38],8.5
rdata[42],8.5
net285,8.5
net188,8.485
_0883_,8.48
_1313_,8.48
_1710_,8.48
instance_1.mem\[1\]\[12\],8.48
net753,8.48
instance_1.mem\[2\]\[29\],8.46
_0933_,8.44
_1170_,8.44
_1271_,8.44
_1709_,8.44
instance_0.mem\[3\]\[16\],8.44
instance_1.mem\[0\]\[54\],8.44
net519,8.44
instance_0.rdata\[9\],8.42
instance_1.mem\[0\]\[64\],8.42
_0778_,8.4
_0879_,8.4
_0975_,8.4
_1412_,8.4
_1772_,8.4
net507,8.4
net332,8.38
net682,8.38
_1777_,8.36
_0648_,8.34
instance_0.rdata\[71\],8.34
instance_1.mem\[1\]\[0\],8.34
net764,8.34
_0107_,8.335
_0613_,8.325
_1886_,8.32
instance_1.mem\[0\]\[65\],8.32
_0367_,8.3
instance_1.mem\[0\]\[42\],8.3
net891,8.3
net933,8.3
net396,8.28
net818,8.28
_0249_,8.265
_0043_,8.26
wdata[68],8.26
_0387_,8.24
instance_1.mem\[3\]\[38\],8.24
instance_1.mem\[0\]\[37\],8.22
_0076_,8.2
_1647_,8.2
net821,8.2
net903,8.2
net613,8.18
_0180_,8.16
_0377_,8.155
_0675_,8.155
_0704_,8.155
_0197_,8.14
_0788_,8.14
_0991_,8.14
_1226_,8.14
_1847_,8.14
instance_0.rdata\[41\],8.14
net631,8.14
instance_0.mem\[1\]\[66\],8.135
instance_0.mem\[0\]\[41\],8.12
instance_0.mem\[1\]\[33\],8.12
_0185_,8.1
_0742_,8.1
_1463_,8.1
_1987_,8.1
instance_0.rdata\[57\],8.1
instance_1.mem\[3\]\[59\],8.1
instance_1.mem\[3\]\[67\],8.1
instance_1.rdata\[39\],8.1
instance_1.rdata\[67\],8.1
net978,8.1
instance_0.mem\[2\]\[0\],8.08
rdata[55],8.07
_0451_,8.065
_0697_,8.065
_0753_,8.06
_0978_,8.06
_0997_,8.06
_1176_,8.06
_1333_,8.06
_1738_,8.06
_2017_,8.06
net155,8.06
_0959_,8.04
_1338_,8.04
rdata[37],8.04
rdata[46],8.04
net82,8.04
_0013_,8.035
_0094_,8.025
_0567_,8.025
_0897_,8.02
_1443_,8.02
net670,8.02
wdata[57],8.01
_0151_,8
instance_1.mem\[2\]\[21\],8
_0169_,7.985
_0307_,7.985
net356,7.985
_0899_,7.98
_1132_,7.98
_1550_,7.98
_1877_,7.98
instance_1.mem\[3\]\[35\],7.98
net446,7.98
net727,7.98
instance_1.mem\[0\]\[17\],7.975
_1404_,7.94
_1477_,7.94
_1604_,7.94
_1724_,7.94
instance_1.mem\[1\]\[25\],7.94
net407,7.94
net472,7.94
net685,7.94
_0374_,7.905
_1257_,7.9
_1322_,7.9
_1442_,7.9
instance_1.mem\[2\]\[57\],7.9
_1469_,7.88
instance_1.rdata\[28\],7.88
net442,7.88
net738,7.88
net909,7.88
instance_1.mem\[0\]\[26\],7.865
instance_1.rdata\[37\],7.86
net195,7.86
instance_0.mem\[0\]\[62\],7.84
net542,7.84
net395,7.82
_0414_,7.815
_0649_,7.815
_0073_,7.805
_0303_,7.805
_0619_,7.805
net522,7.8
instance_0.rdata\[16\],7.78
_0059_,7.765
_0638_,7.765
instance_0.mem\[1\]\[15\],7.76
_0663_,7.745
instance_0.rdata\[38\],7.74
_0573_,7.7
net622,7.7
_0353_,7.695
_0783_,7.68
_0893_,7.68
_0977_,7.68
_1687_,7.68
_1782_,7.68
_0831_,7.66
instance_0.mem\[0\]\[29\],7.66
instance_1.mem\[0\]\[11\],7.66
_0158_,7.64
_1436_,7.64
_1520_,7.64
_1616_,7.64
_1699_,7.64
_1885_,7.64
instance_0.mem\[0\]\[10\],7.64
instance_1.rdata\[64\],7.64
net416,7.64
net850,7.64
net937,7.64
_0627_,7.625
_0030_,7.605
_0051_,7.605
_0232_,7.605
_0135_,7.6
_1021_,7.6
_1079_,7.6
_1139_,7.6
_1195_,7.6
_1502_,7.6
_2043_,7.6
net637,7.6
_1142_,7.58
_1345_,7.58
_2022_,7.58
_2037_,7.58
instance_1.mem\[1\]\[44\],7.58
instance_1.mem\[3\]\[66\],7.58
rdata[10],7.58
rdata[48],7.58
rdata[62],7.58
rdata[66],7.58
rdata[67],7.58
rdata[6],7.58
rdata[71],7.58
rdata[7],7.58
_0297_,7.565
_0504_,7.565
_0569_,7.565
_0602_,7.565
net160,7.565
_0861_,7.56
_0986_,7.56
_1222_,7.56
_1626_,7.56
_1646_,7.56
_1815_,7.56
_1894_,7.56
instance_0.mem\[1\]\[34\],7.56
instance_0.mem\[1\]\[37\],7.56
net511,7.56
_0278_,7.54
instance_0.mem\[2\]\[51\],7.54
instance_0.mem\[2\]\[58\],7.54
instance_0.mem\[3\]\[32\],7.54
_0665_,7.525
_0746_,7.52
_0842_,7.52
_1011_,7.52
_1117_,7.52
_1281_,7.52
_1666_,7.52
_2028_,7.52
instance_1.mem\[2\]\[33\],7.52
instance_1.rdata\[47\],7.52
_1680_,7.5
instance_0.mem\[2\]\[34\],7.5
_1342_,7.48
_1379_,7.48
net627,7.48
_0104_,7.475
_0532_,7.465
net158,7.465
_0050_,7.46
_0160_,7.46
instance_1.mem\[3\]\[9\],7.46
net539,7.46
net655,7.46
net669,7.46
_0264_,7.445
net567,7.44
_0369_,7.42
_0479_,7.42
_1995_,7.42
_2030_,7.42
instance_0.mem\[2\]\[65\],7.405
instance_0.mem\[3\]\[20\],7.4
_0259_,7.385
_0683_,7.385
instance_1.rdata\[8\],7.38
net443,7.38
net657,7.38
net964,7.38
net967,7.38
_0236_,7.36
_0366_,7.355
_0403_,7.355
net242,7.355
_0256_,7.32
instance_1.mem\[3\]\[54\],7.32
net363,7.32
net503,7.32
_0596_,7.305
_0688_,7.305
net276,7.305
instance_0.mem\[1\]\[52\],7.3
instance_0.rdata\[5\],7.3
net777,7.3
_0330_,7.285
_0640_,7.285
_0791_,7.28
instance_0.mem\[1\]\[58\],7.28
instance_0.mem\[3\]\[36\],7.28
instance_0.rdata\[24\],7.28
instance_1.mem\[2\]\[32\],7.28
_0460_,7.265
_0480_,7.245
_0119_,7.24
_0142_,7.24
net574,7.24
net298,7.225
_0811_,7.22
_1014_,7.22
_1234_,7.22
_1633_,7.22
_1657_,7.22
instance_0.rdata\[46\],7.22
instance_1.rdata\[24\],7.22
net890,7.22
instance_0.mem\[2\]\[18\],7.2
instance_0.mem\[3\]\[23\],7.2
instance_1.mem\[3\]\[40\],7.2
net322,7.185
_0234_,7.18
_0241_,7.18
_0964_,7.18
_1258_,7.18
_1275_,7.18
_1406_,7.18
_1527_,7.18
_1594_,7.18
_1668_,7.18
_1765_,7.18
instance_0.rdata\[49\],7.18
instance_1.rdata\[58\],7.18
net245,7.18
instance_1.mem\[0\]\[9\],7.155
_0039_,7.145
net244,7.145
_0979_,7.14
_1422_,7.14
_1518_,7.14
_1879_,7.14
instance_1.mem\[3\]\[2\],7.12
_0322_,7.105
_0342_,7.105
_0962_,7.1
_1019_,7.1
_1208_,7.1
_1828_,7.1
_1998_,7.1
instance_0.mem\[2\]\[31\],7.1
instance_1.mem\[1\]\[52\],7.1
net382,7.1
net491,7.1
net512,7.1
net902,7.1
instance_1.mem\[3\]\[27\],7.085
_1852_,7.08
_1044_,7.06
_1204_,7.06
_1542_,7.06
_1659_,7.06
_1756_,7.06
_1888_,7.06
_1967_,7.06
instance_0.rdata\[36\],7.06
instance_1.mem\[0\]\[70\],7.06
net361,7.06
net408,7.06
net635,7.06
net650,7.06
_1608_,7.04
_0485_,7.015
net786,7
net873,7
net884,7
_1286_,6.995
wdata[51],6.99
net330,6.985
_1003_,6.98
_1895_,6.98
net722,6.98
_0281_,6.96
_1831_,6.96
net949,6.96
_0500_,6.915
_0481_,6.9
net552,6.9
net936,6.9
instance_1.mem\[0\]\[61\],6.89
net184,6.885
net324,6.885
net368,6.885
net91,6.88
net876,6.88
instance_0.mem\[0\]\[65\],6.86
instance_0.mem\[0\]\[67\],6.86
instance_0.rdata\[60\],6.86
net365,6.86
net568,6.86
net456,6.84
_0381_,6.825
_1198_,6.82
net288,6.795
net483,6.78
net647,6.78
rdata[49],6.77
_0402_,6.765
_0876_,6.76
_1683_,6.76
_1713_,6.76
_1872_,6.76
_1955_,6.76
net169,6.76
net565,6.76
_0317_,6.745
_0134_,6.74
_1575_,6.74
_0456_,6.725
_0741_,6.72
_1074_,6.72
_1178_,6.72
_1504_,6.72
_1563_,6.72
_1788_,6.72
_2003_,6.72
instance_0.mem\[0\]\[60\],6.72
instance_1.rdata\[10\],6.72
net199,6.72
net385,6.72
net848,6.72
net863,6.72
net974,6.72
_0075_,6.705
_0575_,6.705
_0636_,6.705
net336,6.705
_0049_,6.685
_1007_,6.66
_1582_,6.66
_1771_,6.66
_2020_,6.66
_1188_,6.64
_1476_,6.64
instance_0.mem\[1\]\[10\],6.64
instance_1.mem\[2\]\[50\],6.64
net473,6.64
net561,6.64
_0029_,6.625
_0936_,6.6
_1228_,6.6
_1586_,6.6
_1591_,6.6
